example_id                                                   | status  | run_time        |
./spec/routing/users_routing_spec.rb[1:1:3]                  | passed  | 0.00231 seconds |
./spec/routing/users_routing_spec.rb[1:1:4]                  | passed  | 0.0021 seconds  |
./spec/routing/users_routing_spec.rb[1:1:5]                  | passed  | 0.0042 seconds  |
./spec/routing/users_routing_spec.rb[1:1:6]                  | passed  | 0.00199 seconds |
./spec/routing/users_routing_spec.rb[1:1:7]                  | passed  | 0.00358 seconds |
./spec/routing/users_routing_spec.rb[1:1:8]                  | passed  | 0.00227 seconds |
./spec/views/comments/edit.html.erb_spec.rb[1:1]             | passed  | 0.02668 seconds |
./spec/views/comments/index.html.erb_spec.rb[1:1]            | passed  | 0.0273 seconds  |
./spec/views/comments/new.html.erb_spec.rb[1:1]              | passed  | 0.08865 seconds |
./spec/views/comments/show.html.erb_spec.rb[1:1]             | passed  | 0.03181 seconds |
./spec/views/users/edit.html.erb_spec.rb[1:1]                | failed  | 0.00661 seconds |
./spec/views/users/index.html.erb_spec.rb[1:1]               | failed  | 0.10525 seconds |
./spec/views/users/new.html.erb_spec.rb[1:1]                 | passed  | 0.05227 seconds |
./spec/views/users/show.html.erb_spec.rb[1:1]                | failed  | 0.00583 seconds |
